Time,Username,Location,Tweet Content
2019-11-06 20:14:17,Sparky 459,Wellington City  New Zealand,RT @SubjectKpop: TWICECOASTER TWICEZINE TWICELAND TWICE MANSION TWICE SQUARE TWICE CHANNEL TWICE DAY TWICE AIRLINES TWICE AIRPORT TWICE MOVIE TWICELIGHTS TWICE ENTERTAINMENT TWICETAGRAM TWICE TV TWICE UNIVERSITY  @JYPETWICE Queendom growing bigger and bigger    MAMAVOTE  twice   t co 5b3dRdMZW0
2019-11-06 20:14:16,Tymber  with a Y  Dalton     ,Dagnabbit  Florida ,RT @HoarseWisperer: Pam Bondi is the same corrupt shitbird who let Trump University off the hook for defrauding people in exchange for a contribution to her campaign in Florida    t co dqQcHF6Lu2
2019-11-06 20:14:16,Rig for Red,Irving  TX,RT @katsund4:   This is not surprising since the Do Nothing Dems haven t accomplished anything in the past 3   years         University of Minnesota Students Can t Name a Single Democratic Accomplishment    t co Tef3zP1XgH
2019-11-06 20:14:15,Mr  Bob Dobalina,Heart of America,RT @donmoyn: The University of Alabama can tell students not to protest Trump  but there will no  campus craziness  piece on Fox News  no hand wringing column by Bret Stephens  no deep dive in the Atlantic about the crisis in free speech on campus because:   t co 8eeYJdBqRZ
2019-11-06 20:14:15,El Lobo,,RT @MollyJongFast: You ll remember Pam Bondi as trumps favorite Ag who decided not to prosecute the trump university case after receiving a generous donation to her re election campaign   t co jII66HDy2z
2019-11-06 20:14:15,JaneyW,,@jeremycorbyn My husband has just finished university at the age of 48 with a  40k debt at the beginning of a new career that he was brave enough to follow  He got a 2:1 and I couldn t be more proud  Can you do anything about the students with existing crippling debt 
2019-11-06 20:14:14,Donna Press,United States,RT @mitchellvii: University of Minnesota Students Can t Name a Single Democratic Accomplishment   t co 032ZwMkrpL via @BreitbartNews
2019-11-06 20:14:14,Nom DePlume,,@44mmvvpp Public University  Can t do that 
2019-11-06 20:14:14,RileyPurgBluff WD,Minnesota,What a small world  Sierra interned at RPBCWD back in 2014  and it started her career in water resources  We ran into her this week at  awra2019 in Salt Lake City  Sierra is now a grad student at the University of Utah    t co 48MtMk8JKG
2019-11-06 20:14:13,Carol Michele Brown,  www facebook com ,RT @travisakers: The University of Alabama  a public school  is threatening potential protestors of Trump   President Trump is attending the Alabama LSU football game   After being booed at the previous two sporting events he attended  the Alabama SGA is fearful that Trump will be booed again    t co QCKQg6R7sF
2019-11-06 20:14:13,lyk,,RT @nikki miumiu: How could  LennonWall which people use to express their opinions and thoughts became racist  Just because Chinese students don t like it  officials of University of Warwick would take it down  so they officially work for  CCP now    HongKongProtest   Chinazi   t co z0p7EqT7JJ
2019-11-06 20:14:13,Benjamin Lamb,,RT @Ugarles: someone please represent a student who hates trump pro bono to get an injunction against this  i am reasonably sure the university of alabama is still a public school even if the football team is a professional franchise    t co r9BIdeZcND
2019-11-06 20:14:12,Daniel O Connell,Derrynane via Cahersiveen,RT @IrishWorkhouseC: The book launch takes place at the Ard R  House Hotel  Tuam  on Friday 8 November 2019 at 8 pm  Dr Martin O Donoghue  lecturer in Irish and British History at Northumbria University  is the guest speaker  All are welcome    t co XNDxRIUpxS
2019-11-06 20:14:12,Qudus Onikeku,Lagos   Paris,Save this        Qudus is currently the first  Maker in Residence  at The Center for Arts  Migration and Entrepreneurship at the University of Florida   2019 2022  His current research looks into the last five years of his      t co taMuIpZA2k
2019-11-06 20:14:12,Nate Clouse,Lincoln  NE,RT @DeVere L56: Extremely Blessed to have received my first power 5 offer from the University of Nebraska Lincoln    GBR      AGTG   @JUCOFFrenzy @JuCoFootballACE @Coach Wiz91 @CoachRHeld @HuskerFBNation   t co ec7MyZoSSe
2019-11-06 20:14:12,Draft Guy Jimmy,,RT @DraftDiamonds: Diamond Talk: Ben Bartch  OT  Saint John s University   A former TE catching the eye of NFL scouts     t co Kf0j2m7Iet @seniorbowl
2019-11-06 20:14:12,TMJ FAY Labor Jobs,Fayetteville  NC,Can you recommend anyone for this job  North Carolina Governor s HBCU 2020 Internship     t co fdJuglYTYq  Labor  Fayetteville  NC
2019-11-06 20:14:11,Socially Awkward  , CIP STANLEY EARL DAVIS  ,RT @univmiami: The University of Miami will be the first college campus in the United States to adopt @ATT s 5G  service and Edge technology    t co 1LWDBoypmk  umiami   t co mD9eNTR2mT
2019-11-06 20:14:11,Goober,Finland,RT @OrwellNGoode: It s not ok according to the university   t co OWGRrQEAGr
2019-11-06 20:14:11,I anna       ,UK,RT @PippaCrerar:   As if Boris Johnson s day couldn t get any worse: Nottingham University Hospital becomes the first to declare a winter crisis   t co MOxG5idLo2
2019-11-06 20:14:10,Jaylen   ,da trenches   ,After a long talk with Coach Sooto  I m blessed to receive a full scholarship to the University of Virginia      t co B5DlZsnXHG
2019-11-06 20:14:10,Kdiviesti  ,,RT @44mmvvpp: Apparently Alabama doesn t believe their students  have the right to protest Trump       the Student Government Association at the University of Alabama is warning groups that protest Trump during Saturday s game  could lose their reserved seating for the rest of the season  
2019-11-06 20:14:09,zack fincher,detroit,RT @YDSofOU: In just a few hours we will be hosting our  MedicareForAll townhall in partnership with @detroitdsa and featuring @AbdulElSayed as well as other healthcare advocates if you re in the area of Oakland University we invite YOU to come join us in this conversation   ThisIsOU
2019-11-06 20:14:09,Molly,Canisius College,@duke university let s see it
2019-11-06 20:14:09,JOKE Watts,Richmond  KY,RT @triciaclem: @JaydeSaylor What is eastern Kentucky university
2019-11-06 20:14:08,Happy Gamer,California  USA,The Sims 4 Gets Hyper Realistic With Discover University Drowning Your Sim With Student s Loan   t co yhEyUla8LO  Games News  Maxis  PCMAC  PLAYSTATION  TheSims  TheSims4  XBOX  Gaming   t co AenOQhCoaF
2019-11-06 20:14:08,The Vinyl Truffle  ,Albuquerque  NM,RT @LoveEminem00:  WOW  CENSORSHIP  MUCH  FREE SPEECH BE DAMNED    The TAXPAYER FUNDED University of Alabama SGA warns students: Protest Trump during the LSU game  where he will be in the audience  and risk losing your reserved seating       OneVoice1   t co 7XDjxBB5cZ
2019-11-06 20:14:08,Dr  Erica Johnson Edwards,,RT @afrankhistory: SALE: all University Press of Florida books are on sale through December 16  Use code XM19 for discount prices   1 per book shipping  and for orders over  50 a free UPF tote bag     One carefully chosen example: Before the Pioneers is  13 00    t co Pu9MmMJsIQ
2019-11-06 20:14:08,Support4Pete,,Quinnipiac  KWIN uh pea ack  University poll just released today    1  Elizabeth Warren : 20   2  Pete Buttigieg : 19   3  Bernie Sanders :17   4  Joe Biden : 15     PeteButtigieg  PeteStorm  TeamPete @PeteForAmerica  WinTheEra   t co bx3ZEVcTPz
2019-11-06 20:14:07,Cluckadooodle,,@dimetrodont Hello there  I know this is a bit random but ive chosen you as one of my artists for my lastest university art project  I was wondering answer some questions over private messages  eg inspirations  commercials work  what mediums you enjoying using etc  Thank you for your time 
2019-11-06 20:14:07,Austin Rose,Fremont  NE,RT @fifita 20: Thank you @Coach Rose 23 for the offer to play at Midland University     t co e8TsMViPw1
2019-11-06 20:14:07,Sue Fourmet,,RT @CREWcrew: Oct  17 18  2013: Despite previously acknowledging the 22 complaints to reporters  internal emails show OAG employees weeded out any complaint about Trump Institute and related entities to claim there was only one complaint against Trump University  6 
2019-11-06 20:14:06,Joshua White,,RT @MollyJongFast: You ll remember Pam Bondi as trumps favorite Ag who decided not to prosecute the trump university case after receiving a generous donation to her re election campaign   t co jII66HDy2z
2019-11-06 20:14:06,Giuseppe Garibaldi stan account,,RT @queerchangeling: fucking scum Glasgow University pretending they can t afford to pay their staff and listen to trade unions about pensions while they invest millions into fucking arms companies   t co REC3yGkshO
2019-11-06 20:14:06,He Really is Putins Puppet,Oklahoma  USA,RT @CJ isnowblue: If that s the case Rand    Then Trump should face:    all the women that accused him of rape  amp  sexual assault   all the students he screwed w  his fake university     all the workers he didn t pay      stormy Daniels    congress   Did I miss anyone    t co TEX9ja33uJ
2019-11-06 20:14:05,lyk,,RT @BoarNews: Hong Kong students have criticised University of Warwick campus security s decision to take down an image of a pig used in students   Lennon Wall   after mainland Chinese students complained it was  racist     t co HEgAt5vBhN   t co uoDonimsvn
2019-11-06 20:14:05,FSU SAAC  ,Fayetteville  NC,Nothing but smiles  great memories  and new opportunities presented today at the 2019 CIAA Southern Division Student Athlete Career Development Workshop  hosted by Winston Salem State University   ShowYourTrueColors  Network  BeGreat  FSUSAAC        t co 8Ck1GvWZK6
2019-11-06 20:14:04,Gina Gregory,,View my verified achievement from Capella University on Acclaim    t co ADbUUDpwwJ
2019-11-06 20:14:04,John Hamilton,,RT @KentStateHockey: Are you guys ready for our game against Eastern Michigan University this Saturday at 8p   goldenflasheshockey  letsgoflashes      t co wyr8r1Hust
2019-11-06 20:14:03,mark veness,Barry Island,RT @BrunelRugby: Winning Wednesday for the Men s 1st team who beat Surrey University 61 5   bruwhat  winningwednesday   t co MNhd49dGmI
2019-11-06 20:14:03,LXA,United States,RT @MollyJongFast: You ll remember Pam Bondi as trumps favorite Ag who decided not to prosecute the trump university case after receiving a generous donation to her re election campaign   t co jII66HDy2z
2019-11-06 20:14:03,Supergremlin Tripleseven,Illinois,@thehill Welp   There goes the University being racist again 
2019-11-06 20:14:03,Selene Lara,,RT @spectatorindex: Best universities in the world  2019   1  Oxford 2  California Institute of Technology 3  Cambridge 4  Stanford 5  MIT 6  Princeton 7  Harvard 8  Yale 9  University of Chicago 10  Imperial College London   Times Higher Education 
2019-11-06 20:14:03,VTSoBetter,Palm Beach  FL,RT @bocaratonhs: Fall Band Concert tonight at 7 pm   It is a FREE concert for EVERYONE so invite all your friends  family  and neighbors  We also have the Florida Atlantic University Wind Ensemble joining us and sharing our stage for this concert    Don t miss out  @southPbcsd @CityBocaRaton
2019-11-06 20:14:02,Mango,478  229,RT @greatyaya4: Extremely blessed to receive an offer from The University of Tennessee  @rmchester00 @CoachDHughes2 @BurksBlitz @JuCoFootballACE   t co 6kmiSISWCs
2019-11-06 20:14:02,Tom,Pennsyltucky,RT @HoarseWisperer: Pam Bondi is the same corrupt shitbird who let Trump University off the hook for defrauding people in exchange for a contribution to her campaign in Florida    t co dqQcHF6Lu2
2019-11-06 20:14:02,Mithridates,DMV  USA, HollinsUniversity enacts new policy allowing  transgender women students to graduate BUT Trans men and Individuals who identify as nonbinary  meaning a gender identity that s not strictly male or female  are still ineligible for admission   t co bf3cx6qdCp  Virginia  LGBTQ   t co YvhgqUMyZp
2019-11-06 20:14:02,John 2 1,,@thehill Alternative headline  Tennessee university thinks it s not ok to be white    
2019-11-06 20:14:02,jins mullet, she her   18,RT @doolsetbangtan:    do i get to meet a sunbae like this when i go to college      come to cyber university     t co jXVi0hmvPz
2019-11-06 20:14:02, OurSpecialMina   ,,RT @misayeon: TWICE are doing a  TWICE University  x Rugby Team concept for their 2020 Korean Season Greetings wow this is brand new for them       t co O9cG7pqbX3
2019-11-06 20:14:01,Andz Landz,NorCal,RT @OpenSecretsDC: Former Florida AG Pam Bondi has long been a Trump ally   As AG  she decided not to pursue a case against Trump University shortly after her campaign received a  25 000 donation from the Trump Foundation   Read More:   t co G9I3jaqYEC   t co sS7P4CJLrh
2019-11-06 20:14:01,KK Lena,America pre Trump,RT @travisakers: The University of Alabama  a public school  is threatening potential protestors of Trump   President Trump is attending the Alabama LSU football game   After being booed at the previous two sporting events he attended  the Alabama SGA is fearful that Trump will be booed again    t co QCKQg6R7sF
2019-11-06 20:14:00,Patty Glikman,Deltona  FL,RT @ScottPresler: I made it to Hawaii  amp  am already getting to work   Please join me TODAY in Maui to learn how to register new voters   University of Hawaii Maui College Ka Lama 103 Mtg  @ 4:30   Dinner @ 6   WednesdayWisdom
2019-11-06 20:14:00,Neus Ros  ,Sant joan despi,RT @BBCScotlandNews:  A referendum is not a crime   A new European Arrest Warrant has been issued for Clara Ponsati  the Catalonian politician and St Andrews University professor  Via @BBCNiallOG More:   t co r275LbAOOF   t co pC114HpMRf
2019-11-06 20:14:00,OverMyDeadBlueBody,Austin  TX,RT @MollyJongFast: You ll remember Pam Bondi as trumps favorite Ag who decided not to prosecute the trump university case after receiving a generous donation to her re election campaign   t co jII66HDy2z
2019-11-06 20:14:00,Damon the dad   ,Sydney  New South Wales,Jaylen Brown Cal University Flawless 2 20 fchwpo got a few more to add to the PC  whodoyoucollect  cardboardcollector  insta  instagram  instadaily  instagood  instagreat  igers  igerssydney  igersboston    t co t4tDBR8IC1
2019-11-06 20:14:00,Vivian Eileen                    ,Fl      I m a Native New Yorker  ,RT @lvrn1313: @4everNeverTrump @ACLU this sure sounds like a public university infringing on students first amendment rights   
2019-11-06 20:14:00,Outlier,Brazil,RT @gp pulipaka: Machine Learning and Data Analysis   BigData  Analytics  DataScience  AI  MachineLearning  IoT  IIoT  PyTorch  Python  RStats  TensorFlow  Java  JavaScript  ReactJS  GoLang  CloudComputing  Serverless  DataScientist  Linux  Programming    t co 76cNprf38c   t co oa5JN5NxIg
2019-11-06 20:13:58,Laurie,,@4everNeverTrump @aldotcom @UofAlabama I will never root for Alabama again or buy the merchandise  I believe in the constitution and as a public university i find this offensive and illegal
2019-11-06 20:13:58,Greg Jericho,Canberra,RT @JesseFFerguson: OLD FLASHBACK: Bondi was the crooked AG of Florida who Trump gave illegal payments to before she dropped the investigation into his scam university   RECENT FLASHBACK: Se is currently a registered lobbyist for Qatar    t co cro2fyQUsW
2019-11-06 20:13:57,motif  ,In Nigeria,RT @Alicia Stone : Family of missing Clark Atlanta University student asks for community s help in finding her   RETWEET      t co TeGZSqqCzA   BlackTwitter  wednesdaymorning  EveryonesChild   t co AAkHgUjeZx
2019-11-06 20:13:57,LovesTheJust,United States,RT @HoarseWisperer: Pam Bondi is the same corrupt shitbird who let Trump University off the hook for defrauding people in exchange for a contribution to her campaign in Florida    t co dqQcHF6Lu2
2019-11-06 20:13:57,Deb Marlee,,RT @laureniscooking: @jdawsey1 @PhilipRucker  @PamBondi  the Atty Gen l in Florida who took a  25k check from Trump  amp  then dropped the state s investigation into Trump University  in other words  a bribe   That Pam Bondi   Seems like a perfect choice since she knows everything about quid pro quos   
2019-11-06 20:13:57,     ,,RT @yoonjo on: namjoon congratulating an army when they passed university  him comforting someone who said they re going thru a lot  him literally cheering and supporting us     when i tell u he s an angel and we dont deserve him
2019-11-06 20:13:57, ImpeachTraitorTrump,Here,RT @MollyJongFast: You ll remember Pam Bondi as trumps favorite Ag who decided not to prosecute the trump university case after receiving a generous donation to her re election campaign   t co jII66HDy2z
2019-11-06 20:13:56,Avril Drummond,Nottingham  UK,RT @PippaCrerar:   As if Boris Johnson s day couldn t get any worse: Nottingham University Hospital becomes the first to declare a winter crisis   t co MOxG5idLo2
2019-11-06 20:13:56,nabongs ,taeyeon iu f x  mmm rv twice,RT @SubjectKpop: TWICECOASTER TWICEZINE TWICELAND TWICE MANSION TWICE SQUARE TWICE CHANNEL TWICE DAY TWICE AIRLINES TWICE AIRPORT TWICE MOVIE TWICELIGHTS TWICE ENTERTAINMENT TWICETAGRAM TWICE TV TWICE UNIVERSITY  @JYPETWICE Queendom growing bigger and bigger    MAMAVOTE  twice   t co 5b3dRdMZW0
2019-11-06 20:13:56,Sarah Powell,Austin  TX,@EileenWKelly @utexascoe @vupeabody @UConnNeag @UMN CEHD @UIC SPED @MSUCollegeofEd @ugaCOE Email the contact  listed on the NCLII website  at your university of interest  They ll be able to provide more details 
2019-11-06 20:13:56,Komal Mushtaq,Lahore  Pakistan,RT @BalachMirBaloch: Ms Aneela  VC of Dr  Nimrita s university had claimed that she commited suicide even before the police investigation had started  But her final autopsy report revealed that she was subjected to rape before being murdered  Hope she gets justice  JusticeForNimrita   t co UYhksEl3ah
2019-11-06 20:13:55,Syahmi,Kuching  Sarawak,RT @kynaalkhaired05: Science stream is not a scam  University equipped these students with knowledge and skills  Tapi goverment tak provide platform for them to polish and sharpened skills Thats that   We are all doing better  it is just a matter of time and job markets    t co vzTeu9K18N
2019-11-06 20:13:55,Lucas Hall,,RT @OrwellNGoode: It s not ok according to the university   t co OWGRrQEAGr
2019-11-06 20:13:55,A girl named Nel,Florida  USA,RT @sighnatasha: tw    god the way FAU handles situations is so    wrong  tell me how a suicide by a self inflicted gunshot happened this morning in one of the parking garages and the university has yet to release a statement and made sure that all on campus activities were still on afterwards
2019-11-06 20:13:54, ,Boulder  Colorado  USA,RT @CREWcrew: Oct  17 18  2013: Despite previously acknowledging the 22 complaints to reporters  internal emails show OAG employees weeded out any complaint about Trump Institute and related entities to claim there was only one complaint against Trump University  6 
2019-11-06 20:13:54,  Angie   ,United States,RT @mitchellvii: University of Minnesota Students Can t Name a Single Democratic Accomplishment   t co 032ZwMkrpL via @BreitbartNews
2019-11-06 20:13:52,Nick Lowe,Wichita  KS,RT @54jeremiah54: Blessed to have received my 9th D1 offer from the Western Kentucky University @CoacHamby @JUCOFFrenzy @JuCoFootballACE   t co n56NJKd6OU
2019-11-06 20:13:51,bee,,RT @latimes: The Democratic National Committee has yanked its Dec  19 presidential primary debate from UCLA in solidarity with labor unions that are engaged in disputes with the university    t co JxzrSFYDGI
2019-11-06 20:13:50,Ismael Smith,Huntsville  AL,RT @Kahlil Saunders: After a great conversation on the phone with @BrentDearmon I m excited and blessed to receive an offer from The University of Kansas  RockChalk  kufball @KU Football @CoachLMeadows @AL7AFootball @Yellowhammer247 @AlabamaRecruit4 @DexPreps @UnLockYourGame   t co 1rCBNcHXDF
2019-11-06 20:13:50,Zac Smith,Santa Barbara  CA,@HerrLizzie @dhnexon @karpmj @daveweigel And it makes everyone who didn t  get discovered  think you re all a bunch of elitists for caring about who made it into an elite university 
2019-11-06 20:13:50,godking,Ashburton Groove Nigeria,RT @HonorAfricans: Monifa Phillips becomes the first black woman to earn a Ph D  in Physics at the University of Glasgow in its 568 yr history  She shattered the glass ceiling on June 24 by becoming the first black woman to graduate with a Ph D  in Physics from the University    t co zzDFSgDIve
2019-11-06 20:13:49,Judy   ,somewhere slaying   ,How you do you attend fisk university and don t know who Mr  Berry is    Y all pathetic        
2019-11-06 20:13:49,OverRunByDogs,Alaska  USA,RT @HoarseWisperer: Pam Bondi is the same corrupt shitbird who let Trump University off the hook for defrauding people in exchange for a contribution to her campaign in Florida    t co dqQcHF6Lu2
2019-11-06 20:13:49,Josh Caplan,The District,Alabama is a public university    t co 8qwwlZMVxG
2019-11-06 20:13:49,Blair Angulo,Los Angeles,RT @hunter barth : Excited to say I have received an offer from the University of Arizona  Huge thanks to @TaylorMazzone1 for this great opportunity   BearDown   t co e1j5bi70P3
2019-11-06 20:13:49,Andz Landz,NorCal,RT @HoarseWisperer: Pam Bondi is the same corrupt shitbird who let Trump University off the hook for defrauding people in exchange for a contribution to her campaign in Florida    t co dqQcHF6Lu2
2019-11-06 20:13:49,Sixer s Season Tix holder,Philadelphia,@AandJnana I earned my PH D in Booing at Philadelphia booing university lol   nothing like a good booing to start of the morning and end the night lol
2019-11-06 20:13:49,Global Link,Toulouse Ottawa Boston ,RT @NiCHE Canada: Call for Manuscripts: Environmental History and Studies in Failure with Concordia University Press  @ConcordiaPress     t co b1ALO61L4N   envhist  envhum  history  twitterstorians  ecology  conservation  cdnhist
2019-11-06 20:13:49,Ann  ,Boca Raton  FL,RT @YoniMichanie: Disgusting antisemitic video out of George Washington University   Rafa Chediak is asked on @Snapchat:   What are we going to do to Israel     Still believe that antizionism is not antisemitism    Watch  and listen to her answer    Share this video    Share her name    t co 3XpbyRQkNZ
2019-11-06 20:13:48,NAMJIN    FLOWER SHOWER    ,PE   ,RT @doolsetbangtan:    do i get to meet a sunbae like this when i go to college      come to cyber university     t co jXVi0hmvPz
2019-11-06 20:13:48,Ammon Fifita,,Thank you @Coach Rose 23 for the offer to play at Midland University     t co e8TsMViPw1
2019-11-06 20:13:47,longLive pmln123,,RT @PMLN FTW77: PTI Member of National Assembly  MNA  Murad Saeed continued to hold a seat in the Lower House of parliament despite his alma mater  University of Peshawar  UOP   not issuing him a degree  Pakistan Today has learnt  Learn more:   t co W90cfEXupt   TBD  PML
2019-11-06 20:13:47,Itismetammyb,,RT @BreitbartNews: University of Florida Professor Max Van Oostenburg has banned the use of the term  illegal immigrant  in his anthropology courses    t co ft2UiZAkyM
2019-11-06 20:13:47,CaribbeanNewsNetwork,United Kingdom, JAMAICA:  In good faith  UTASU  University of Technology Jamaica Academic Staff Union  has agreed to a temporary resumption of work  beginning Wednesday  November 6  2019   UTASU President Lebert Langley said 
2019-11-06 20:13:47,Mugira Yusuf,Nigeria,RT @YakubDogara: I am honoured to be appointed as the Chancellor of Achievers University  Owo  Ondo State  @achieversuniowo   t co KxVKa0jvCO
2019-11-06 20:13:46,kirk,Jurrasic Park  Ga,RT @XLNB: The University of Alabama telling students they ll punish anyone who protests Trump comes right on the heels of them forcing a black administrator out of work for saying America is a white supremacist state  Just in case you didn t know where Bama stands on fascism 
2019-11-06 20:13:46,NonSequiturWI,Bay View  WI,RT @travisakers: The University of Alabama  a public school  is threatening potential protestors of Trump   President Trump is attending the Alabama LSU football game   After being booed at the previous two sporting events he attended  the Alabama SGA is fearful that Trump will be booed again    t co QCKQg6R7sF
2019-11-06 20:13:46,adam duke,where the wild wings are,@mollykuch13 it hath been done
2019-11-06 20:13:45,Muhammad Osama   ,Lahore  Pakistan,RT @emdaniyal99: Schools are off tomorrow because of smog  Matlab keh University aur College ky students ko smog affect ni krti   Lahoresmog  LahoreSmog  pollution
2019-11-06 20:13:45,Nancy Estes,United States,RT @MollyJongFast: You ll remember Pam Bondi as trumps favorite Ag who decided not to prosecute the trump university case after receiving a generous donation to her re election campaign   t co jII66HDy2z
2019-11-06 20:13:45,Messenger 1900    VoteLabour,UK,RT @liamyoung: Nottingham University Hospital becomes the first to declare winter crisis  Over the period of this general election we will see more and more hospitals buckle under the strain of Tory cuts and backdoor privatisation  Our NHS can t afford another 5 years of the Tories 
2019-11-06 20:13:44,Dan Papscun,Washington  DC,RT @haley samsel:  @Graham Bowley of NYT is out with a deep dive on @AmericanU s Carmel Institute  which @TheEagleOnline started asking questions about in 2017:   t co 0pGoW63uqg
2019-11-06 20:13:44,         ,Fresno  CA,If I remember correctly I think Yoongi and him both go to the same university    t co vKfuStZrmV
2019-11-06 20:13:44,DE,,RT @44mmvvpp: Apparently Alabama doesn t believe their students  have the right to protest Trump       the Student Government Association at the University of Alabama is warning groups that protest Trump during Saturday s game  could lose their reserved seating for the rest of the season  
2019-11-06 20:13:44,Andz Landz,NorCal,RT @svdate: Pam Bondi was the attorney general of Florida who dropped an investigation into Trump University   Bondi s political committee also accepted an illegal  25 000 contribution from Trump s  charity     t co jymH8fyJ6l
2019-11-06 20:13:44,David Lawrence Jones,Torquay  Devon  UK,RT @princerockps: On Tuesday  some of our pupils were able to attend The University of Plymouth and take part in a workshop by the inspiring and talented author  David Lawrence Jones  A superb opportunity to develop a love of reading   latcurriculum @learningatceo @Lucy Hanley78   t co b5NbA2HagM
2019-11-06 20:13:43,mgt  ,Scotland  United Kingdom,RT @NecktopP:  The Climate Research Unit  CRU  of the University of East Anglia in the United Kingdom  manipulated scientific information to make global warming appear to be the fault of mankind and industrial CO2     t co LaUKOB8vZ5
2019-11-06 20:13:43,Blue Moon  ,NYC,@northeast mama @44mmvvpp If that s the case  as a public university  wouldn t they be breaking free speech laws 
2019-11-06 20:13:43,PamelaDSolano,Texas  USA,RT @travisakers: The University of Alabama  a public school  is threatening potential protestors of Trump   President Trump is attending the Alabama LSU football game   After being booed at the previous two sporting events he attended  the Alabama SGA is fearful that Trump will be booed again    t co QCKQg6R7sF
2019-11-06 20:13:43,Diane Zeno,,RT @UofLASThinker: Day 2 of  UofLGradAppreciation Week  Meet Humanities Ph D  student  amp  University Fellow Eric Shoemaker  whose essay  After Lorca: Anamnesis and Magic between Jack Spicer and Federico Garc a Lorca  is in the next issue of @ChicagoJournals Signs  amp  Society    t co 7R2SfqDMqu   t co XOtWplokuP
2019-11-06 20:13:42,DePaul U Jobs,Chicago  IL,We re hiring  Read about our latest job opening here: Mgr Strategic Comm Initiatives     t co 227HxxoENx  Education  ChiTown
2019-11-06 20:13:42,Individual 1,                           ,RT @MollyJongFast: You ll remember Pam Bondi as trumps favorite Ag who decided not to prosecute the trump university case after receiving a generous donation to her re election campaign   t co jII66HDy2z
2019-11-06 20:13:42,j denton,USA,RT @travisakers: The University of Alabama  a public school  is threatening potential protestors of Trump   President Trump is attending the Alabama LSU football game   After being booed at the previous two sporting events he attended  the Alabama SGA is fearful that Trump will be booed again    t co QCKQg6R7sF
2019-11-06 20:13:41,NW2URC,Chester  United Kingdom,RT @NW2URC: Congrats to Nana Snyper for presenting her work at the African Organisation for Research and Training in Cancer  AORTIC   International Conference on Cancer in Mozambique  Nana is a registered PhD student with Wrexham Glyndwr University  working at BCUHB NWCRC @BetsiResearch   t co uHl8i4Iisd
2019-11-06 20:13:41,Barry katz    ,Mid west,RT @Article3Project: John C  Hinderaker of Arizona  to serve as Judge on the United States District Court for the District of Arizona  Hinderaker currently serves as a Judge on the Arizona Superior Court for Pima County  He graduated from the University of Arizona College of Law 
2019-11-06 20:13:41, BlackPeopleAreHuman ,St  Louis,RT @trueblackresist: Repeated acts of vandalism including racist threat worry students at Salisbury University   The threat was to kill all Black people at the school     t co 1dVNhaCs6X
2019-11-06 20:13:40,Zoey  ,,RT @Alicia Stone : Family of missing Clark Atlanta University student asks for community s help in finding her   RETWEET      t co TeGZSqqCzA   BlackTwitter  wednesdaymorning  EveryonesChild   t co AAkHgUjeZx
2019-11-06 20:13:40,M Gardner,,RT @ConnieSchultz: Well  hey there  Alabama   Here s a fun reminder  courtesy of my favorite wall in our journalism school @KentState  We re a public university  too    heretohelp   t co e7qCC2s5hG   t co N2HmXgOU8N
2019-11-06 20:13:39,DeDe Rhodes,Columbus  OH,RT @MollyJongFast: You ll remember Pam Bondi as trumps favorite Ag who decided not to prosecute the trump university case after receiving a generous donation to her re election campaign   t co jII66HDy2z
2019-11-06 20:13:39,Edward Zook, Maryland,@thehill Two questions: In what world does a university SGA have this kind of power  Is this based on the Morning Joe Doctrine regarding free speech 
2019-11-06 20:13:39,Carlos Rodriguez,Forney  TX,RT @kamallen02:  AGTG Blessed to receive my first SEC offer from the University of Missouri     @SkysTheLimitWR @coachludlow @CoachJacksonTPW @DP2Nice @MUcoachAO @MizzouFootball   t co EiX4ccpbEZ
2019-11-06 20:13:38,CharleyEugeneHerrera,Stockton  CA,RT @OrwellNGoode: It s not ok according to the university   t co OWGRrQEAGr
2019-11-06 20:13:38,CYBORG ,Lagos  Nigeria,RT @HonorAfricans: Monifa Phillips becomes the first black woman to earn a Ph D  in Physics at the University of Glasgow in its 568 yr history  She shattered the glass ceiling on June 24 by becoming the first black woman to graduate with a Ph D  in Physics from the University    t co zzDFSgDIve
2019-11-06 20:13:38,theThicknessofMashedPotatoes, Los Angeles,RT @MollyJongFast: You ll remember Pam Bondi as trumps favorite Ag who decided not to prosecute the trump university case after receiving a generous donation to her re election campaign   t co jII66HDy2z
2019-11-06 20:13:38,emilio,,@argumento  El famoso bronceado de Duke University Press
2019-11-06 20:13:37,NAMJIN    FLOWER SHOWER    ,PE   ,RT @choi bts2: RM on Weverse   ARMY : I could pass the university where I want to go to    Take my power  I could overcome the hard time because of @BTS twt thank you    RM : Congratulations    t co 0NUrUwQgt2
2019-11-06 20:13:37,Flat Mars Society,Deutschland,RT @OrwellNGoode: It s not ok according to the university   t co OWGRrQEAGr
2019-11-06 20:13:37,Just MALCOLM for now,global citizen  based in SA,RT @ AfricanSoil: The ONLY two Universities built post 1994 under President J G Zuma   Mpumalanga University   Sol Plaatje  Northern Cape    This after teaching and nursing colleges were shutdown under the Mbeki Administration   This is what  9 wasted years  looks like    Msholozi     t co 6WM0mSKr1e
2019-11-06 20:13:37,Duggle Bogey ,On A Scooter In Tennessee,@44mmvvpp @spokanetom University of Alabama upholding its proud tradition of supporting racists 
